Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-09-17 00:00:00-04:00,91.47340769971166,91.99734652010149,91.13916504343976,91.5998764038086,231900,0.0,0.0,0.0
2014-09-18 00:00:00-04:00,91.88892948213687,92.25027151480639,91.78052480472822,92.2322006225586,231100,0.0,0.0,0.0
2014-09-19 00:00:00-04:00,92.52128972033013,92.52128972033013,91.45533432043686,91.83474731445312,198900,0.0,0.0,0.0
2014-09-22 00:00:00-04:00,91.71727787125532,91.71727787125532,90.75069202951134,91.01266479492188,271000,0.0,0.0,0.0
2014-09-23 00:00:00-04:00,90.75071475910148,91.19335518088893,90.67844496598568,90.73265075683594,268200,0.0,0.0,0.0
2014-09-24 00:00:00-04:00,90.73265230858267,91.42823012614473,90.41647368130027,91.40113067626953,219100,0.0,0.0,0.0
2014-09-25 00:00:00-04:00,91.12111684706912,91.14821630378715,89.35054779052734,89.35054779052734,400400,0.0,0.0,0.0
2014-09-26 00:00:00-04:00,89.60346528193946,90.50681706212386,89.60346528193946,90.4074478149414,180700,0.0,0.0,0.0
2014-09-29 00:00:00-04:00,89.5221391039408,90.47066100814216,89.32340065604905,90.31709289550781,381600,0.0,0.0,0.0
2014-09-30 00:00:00-04:00,90.57005141105569,90.89525860328423,90.1274040765058,90.4074478149414,902500,0.0,0.0,0.0
2014-10-01 00:00:00-04:00,90.25391053557405,90.29003855415428,88.66400892889433,88.91694641113281,585400,0.0,0.0,0.0
2014-10-02 00:00:00-04:00,88.871743463987,89.27825589027151,87.82385900864266,88.95304870605469,388800,0.0,0.0,0.0
2014-10-03 00:00:00-04:00,89.47702250945646,90.02806780639288,89.22407814841307,89.7480239868164,339900,0.0,0.0,0.0
2014-10-06 00:00:00-04:00,90.17259678762099,90.31713641647333,89.37764950501959,89.62155151367188,424100,0.0,0.0,0.0
2014-10-07 00:00:00-04:00,89.21503053080602,89.41376904029663,88.09486927586397,88.1039047241211,291100,0.0,0.0,0.0
2014-10-08 00:00:00-04:00,88.11293211834722,89.89253620081183,87.435418293573,89.76606750488281,374800,0.0,0.0,0.0
2014-10-09 00:00:00-04:00,89.63058297455167,89.78415115435125,88.12198684869546,88.20328521728516,473400,0.0,0.0,0.0
2014-10-10 00:00:00-04:00,87.73351543349892,87.91418300813896,85.55643463134766,85.55643463134766,724800,0.0,0.0,0.0
2014-10-13 00:00:00-04:00,85.4119219238907,86.26106799370581,84.48146371002794,84.4995346069336,470000,0.0,0.0,0.0
2014-10-14 00:00:00-04:00,85.11380204063506,85.8816496411856,84.58985637737874,84.7976303100586,745100,0.0,0.0,0.0
2014-10-15 00:00:00-04:00,83.65939887503265,84.81568791218857,82.50310983787674,84.4814453125,590700,0.0,0.0,0.0
2014-10-16 00:00:00-04:00,82.9276878472645,84.66212143690007,82.76508426748451,84.11107635498047,468400,0.0,0.0,0.0
2014-10-17 00:00:00-04:00,85.09573332416355,85.7732471464643,84.67116378482442,85.04153442382812,387900,0.0,0.0,0.0
2014-10-20 00:00:00-04:00,84.51758758519856,85.70098306512601,84.21045129815107,85.63774871826172,1116800,0.0,0.0,0.0
